,idd,date1,country,cases
145,145,2020-03-08,Albania,0
146,146,2020-03-09,Albania,2
147,147,2020-03-10,Albania,10
148,148,2020-03-11,Albania,12
149,149,2020-03-12,Albania,23
150,150,2020-03-13,Albania,33
151,151,2020-03-14,Albania,38
152,152,2020-03-15,Albania,42
153,153,2020-03-16,Albania,51
154,154,2020-03-17,Albania,55
155,155,2020-03-18,Albania,59
156,156,2020-03-19,Albania,64
157,157,2020-03-20,Albania,70
158,158,2020-03-21,Albania,76
159,159,2020-03-22,Albania,89
160,160,2020-03-23,Albania,104
161,161,2020-03-24,Albania,123
162,162,2020-03-25,Albania,146
163,163,2020-03-26,Albania,174
164,164,2020-03-27,Albania,186
165,165,2020-03-28,Albania,197
166,166,2020-03-29,Albania,212
167,167,2020-03-30,Albania,223
168,168,2020-03-31,Albania,243
169,169,2020-04-01,Albania,259
170,170,2020-04-02,Albania,277
171,171,2020-04-03,Albania,304
172,172,2020-04-04,Albania,333
173,173,2020-04-05,Albania,361
174,174,2020-04-06,Albania,377
175,175,2020-04-07,Albania,383
176,176,2020-04-08,Albania,400
177,177,2020-04-09,Albania,409
178,178,2020-04-10,Albania,416
179,179,2020-04-11,Albania,433
180,180,2020-04-12,Albania,446
181,181,2020-04-13,Albania,467
182,182,2020-04-14,Albania,475
183,183,2020-04-15,Albania,494
184,184,2020-04-16,Albania,518
185,185,2020-04-17,Albania,539
186,186,2020-04-18,Albania,548
187,187,2020-04-19,Albania,562
188,188,2020-04-20,Albania,584
189,189,2020-04-21,Albania,609
190,190,2020-04-22,Albania,634
191,191,2020-04-23,Albania,663
192,192,2020-04-24,Albania,678
193,193,2020-04-25,Albania,712
194,194,2020-04-26,Albania,726
195,195,2020-04-27,Albania,736
196,196,2020-04-28,Albania,750
197,197,2020-04-29,Albania,766
198,198,2020-01-22,Algeria,0
199,199,2020-01-23,Algeria,0
200,200,2020-01-24,Algeria,0
201,201,2020-01-25,Algeria,0
202,202,2020-01-26,Algeria,0
203,203,2020-01-27,Algeria,0
204,204,2020-01-28,Algeria,0
205,205,2020-01-29,Algeria,0
206,206,2020-01-30,Algeria,0
207,207,2020-01-31,Algeria,0
208,208,2020-02-01,Algeria,0
209,209,2020-02-02,Algeria,0
210,210,2020-02-03,Algeria,0
211,211,2020-02-04,Algeria,0
212,212,2020-02-05,Algeria,0
213,213,2020-02-06,Algeria,0
214,214,2020-02-07,Algeria,0
215,215,2020-02-08,Algeria,0
216,216,2020-02-09,Algeria,0
217,217,2020-02-10,Algeria,0
218,218,2020-02-11,Algeria,0
219,219,2020-02-12,Algeria,0
220,220,2020-02-13,Algeria,0
221,221,2020-02-14,Algeria,0
222,222,2020-02-15,Algeria,0
223,223,2020-02-16,Algeria,0
224,224,2020-02-17,Algeria,0
225,225,2020-02-18,Algeria,0
226,226,2020-02-19,Algeria,0
227,227,2020-02-20,Algeria,0
228,228,2020-02-21,Algeria,0
229,229,2020-02-22,Algeria,0
230,230,2020-02-23,Algeria,0
231,231,2020-02-24,Algeria,0
232,232,2020-02-25,Algeria,1
233,233,2020-02-26,Algeria,1
234,234,2020-02-27,Algeria,1
235,235,2020-02-28,Algeria,1
236,236,2020-02-29,Algeria,1
237,237,2020-03-01,Algeria,1
238,238,2020-03-02,Algeria,3
239,239,2020-03-03,Algeria,5
240,240,2020-03-04,Algeria,12
241,241,2020-03-05,Algeria,12
242,242,2020-03-06,Algeria,17
243,243,2020-03-07,Algeria,17
244,244,2020-03-08,Algeria,19
245,245,2020-03-09,Algeria,20
246,246,2020-03-10,Algeria,20
247,247,2020-03-11,Algeria,20
248,248,2020-03-12,Algeria,24
249,249,2020-03-13,Algeria,26
250,250,2020-03-14,Algeria,37
251,251,2020-03-15,Algeria,48
252,252,2020-03-16,Algeria,54
253,253,2020-03-17,Algeria,60
254,254,2020-03-18,Algeria,74
255,255,2020-03-19,Algeria,87
256,256,2020-03-20,Algeria,90
257,257,2020-03-21,Algeria,139
258,258,2020-03-22,Algeria,201
259,259,2020-03-23,Algeria,230
260,260,2020-03-24,Algeria,264
261,261,2020-03-25,Algeria,302
262,262,2020-03-26,Algeria,367
263,263,2020-03-27,Algeria,409
264,264,2020-03-28,Algeria,454
265,265,2020-03-29,Algeria,511
266,266,2020-03-30,Algeria,584
267,267,2020-03-31,Algeria,716
268,268,2020-04-01,Algeria,847
269,269,2020-04-02,Algeria,986
270,270,2020-04-03,Algeria,1171
271,271,2020-04-04,Algeria,1251
272,272,2020-04-05,Algeria,1320
273,273,2020-04-06,Algeria,1423
274,274,2020-04-07,Algeria,1468
275,275,2020-04-08,Algeria,1572
276,276,2020-04-09,Algeria,1666
277,277,2020-04-10,Algeria,1761
278,278,2020-04-11,Algeria,1825
279,279,2020-04-12,Algeria,1914
280,280,2020-04-13,Algeria,1983
281,281,2020-04-14,Algeria,2070
282,282,2020-04-15,Algeria,2160
283,283,2020-04-16,Algeria,2268
284,284,2020-04-17,Algeria,2418
285,285,2020-04-18,Algeria,2534
286,286,2020-04-19,Algeria,2629
287,287,2020-04-20,Algeria,2718
288,288,2020-04-21,Algeria,2811
289,289,2020-04-22,Algeria,2910
290,290,2020-04-23,Algeria,3007
291,291,2020-04-24,Algeria,3127
292,292,2020-04-25,Algeria,3256
293,293,2020-04-26,Algeria,3382
294,294,2020-04-27,Algeria,3517
295,295,2020-04-28,Algeria,3649
296,296,2020-04-29,Algeria,3848
297,297,2020-01-22,Andorra,0
298,298,2020-01-23,Andorra,0
299,299,2020-01-24,Andorra,0
300,300,2020-01-25,Andorra,0
