,date1,country,cases
177,4/9/20,Albania,409
178,4/10/20,Albania,416
179,4/11/20,Albania,433
180,4/12/20,Albania,446
181,4/13/20,Albania,467
182,4/14/20,Albania,475
183,4/15/20,Albania,494
184,4/16/20,Albania,518
185,4/17/20,Albania,539
186,4/18/20,Albania,548
187,4/19/20,Albania,562
188,4/20/20,Albania,584
189,4/21/20,Albania,609
190,4/22/20,Albania,634
191,4/23/20,Albania,663
192,4/24/20,Albania,678
193,4/25/20,Albania,712
194,4/26/20,Albania,726
195,4/27/20,Albania,736
196,4/28/20,Albania,750
197,4/29/20,Albania,766
198,1/22/20,Algeria,0
199,1/23/20,Algeria,0
200,1/24/20,Algeria,0
201,1/25/20,Algeria,0
202,1/26/20,Algeria,0
203,1/27/20,Algeria,0
204,1/28/20,Algeria,0
205,1/29/20,Algeria,0
206,1/30/20,Algeria,0
207,1/31/20,Algeria,0
208,2/1/20,Algeria,0
209,2/2/20,Algeria,0
210,2/3/20,Algeria,0
211,2/4/20,Algeria,0
212,2/5/20,Algeria,0
213,2/6/20,Algeria,0
214,2/7/20,Algeria,0
215,2/8/20,Algeria,0
216,2/9/20,Algeria,0
217,2/10/20,Algeria,0
218,2/11/20,Algeria,0
219,2/12/20,Algeria,0
220,2/13/20,Algeria,0
221,2/14/20,Algeria,0
222,2/15/20,Algeria,0
223,2/16/20,Algeria,0
224,2/17/20,Algeria,0
225,2/18/20,Algeria,0
226,2/19/20,Algeria,0
227,2/20/20,Algeria,0
228,2/21/20,Algeria,0
229,2/22/20,Algeria,0
230,2/23/20,Algeria,0
231,2/24/20,Algeria,0
232,2/25/20,Algeria,1
233,2/26/20,Algeria,1
234,2/27/20,Algeria,1
235,2/28/20,Algeria,1
236,2/29/20,Algeria,1
237,3/1/20,Algeria,1
238,3/2/20,Algeria,3
239,3/3/20,Algeria,5
240,3/4/20,Algeria,12
241,3/5/20,Algeria,12
242,3/6/20,Algeria,17
243,3/7/20,Algeria,17
244,3/8/20,Algeria,19
245,3/9/20,Algeria,20
246,3/10/20,Algeria,20
247,3/11/20,Algeria,20
248,3/12/20,Algeria,24
249,3/13/20,Algeria,26
250,3/14/20,Algeria,37
251,3/15/20,Algeria,48
252,3/16/20,Algeria,54
253,3/17/20,Algeria,60
254,3/18/20,Algeria,74
255,3/19/20,Algeria,87
256,3/20/20,Algeria,90
257,3/21/20,Algeria,139
258,3/22/20,Algeria,201
259,3/23/20,Algeria,230
260,3/24/20,Algeria,264
261,3/25/20,Algeria,302
262,3/26/20,Algeria,367
263,3/27/20,Algeria,409
264,3/28/20,Algeria,454
265,3/29/20,Algeria,511
266,3/30/20,Algeria,584
267,3/31/20,Algeria,716
268,4/1/20,Algeria,847
269,4/2/20,Algeria,986
270,4/3/20,Algeria,1171
271,4/4/20,Algeria,1251
272,4/5/20,Algeria,1320
273,4/6/20,Algeria,1423
274,4/7/20,Algeria,1468
275,4/8/20,Algeria,1572
276,4/9/20,Algeria,1666
277,4/10/20,Algeria,1761
278,4/11/20,Algeria,1825
279,4/12/20,Algeria,1914
280,4/13/20,Algeria,1983
281,4/14/20,Algeria,2070
282,4/15/20,Algeria,2160
283,4/16/20,Algeria,2268
284,4/17/20,Algeria,2418
285,4/18/20,Algeria,2534
286,4/19/20,Algeria,2629
287,4/20/20,Algeria,2718
288,4/21/20,Algeria,2811
289,4/22/20,Algeria,2910
290,4/23/20,Algeria,3007
291,4/24/20,Algeria,3127
292,4/25/20,Algeria,3256
293,4/26/20,Algeria,3382
294,4/27/20,Algeria,3517
295,4/28/20,Algeria,3649
296,4/29/20,Algeria,3848
297,1/22/20,Andorra,0
298,1/23/20,Andorra,0
299,1/24/20,Andorra,0
300,1/25/20,Andorra,0
301,1/26/20,Andorra,0
302,1/27/20,Andorra,0
303,1/28/20,Andorra,0
304,1/29/20,Andorra,0
305,1/30/20,Andorra,0
306,1/31/20,Andorra,0
307,2/1/20,Andorra,0
308,2/2/20,Andorra,0
309,2/3/20,Andorra,0
310,2/4/20,Andorra,0
311,2/5/20,Andorra,0
312,2/6/20,Andorra,0
313,2/7/20,Andorra,0
314,2/8/20,Andorra,0
315,2/9/20,Andorra,0
316,2/10/20,Andorra,0
317,2/11/20,Andorra,0
318,2/12/20,Andorra,0
319,2/13/20,Andorra,0
320,2/14/20,Andorra,0
321,2/15/20,Andorra,0
322,2/16/20,Andorra,0
323,2/17/20,Andorra,0
324,2/18/20,Andorra,0
325,2/19/20,Andorra,0
326,2/20/20,Andorra,0
327,2/21/20,Andorra,0
328,2/22/20,Andorra,0
329,2/23/20,Andorra,0
330,2/24/20,Andorra,0
331,2/25/20,Andorra,0
332,2/26/20,Andorra,0
333,2/27/20,Andorra,0
334,2/28/20,Andorra,0
335,2/29/20,Andorra,0
336,3/1/20,Andorra,0
337,3/2/20,Andorra,1
338,3/3/20,Andorra,1
339,3/4/20,Andorra,1
340,3/5/20,Andorra,1
341,3/6/20,Andorra,1
342,3/7/20,Andorra,1
343,3/8/20,Andorra,1
344,3/9/20,Andorra,1
345,3/10/20,Andorra,1
346,3/11/20,Andorra,1
347,3/12/20,Andorra,1
348,3/13/20,Andorra,1
349,3/14/20,Andorra,1
350,3/15/20,Andorra,1
351,3/16/20,Andorra,2
352,3/17/20,Andorra,39
353,3/18/20,Andorra,39
354,3/19/20,Andorra,53
355,3/20/20,Andorra,75
356,3/21/20,Andorra,88
357,3/22/20,Andorra,113
358,3/23/20,Andorra,133
359,3/24/20,Andorra,164
360,3/25/20,Andorra,188
361,3/26/20,Andorra,224
362,3/27/20,Andorra,267
363,3/28/20,Andorra,308
364,3/29/20,Andorra,334
365,3/30/20,Andorra,370
366,3/31/20,Andorra,376
367,4/1/20,Andorra,390
368,4/2/20,Andorra,428
369,4/3/20,Andorra,439
370,4/4/20,Andorra,466
371,4/5/20,Andorra,501
372,4/6/20,Andorra,525
373,4/7/20,Andorra,545
374,4/8/20,Andorra,564
375,4/9/20,Andorra,583
376,4/10/20,Andorra,601
377,4/11/20,Andorra,601
378,4/12/20,Andorra,638
379,4/13/20,Andorra,646
380,4/14/20,Andorra,659
381,4/15/20,Andorra,673
382,4/16/20,Andorra,673
383,4/17/20,Andorra,696
384,4/18/20,Andorra,704
385,4/19/20,Andorra,713
386,4/20/20,Andorra,717
387,4/21/20,Andorra,717
388,4/22/20,Andorra,723
389,4/23/20,Andorra,723
390,4/24/20,Andorra,731
391,4/25/20,Andorra,738
392,4/26/20,Andorra,738
393,4/27/20,Andorra,743
394,4/28/20,Andorra,743
395,4/29/20,Andorra,743
396,1/22/20,Angola,0
397,1/23/20,Angola,0
398,1/24/20,Angola,0
399,1/25/20,Angola,0
400,1/26/20,Angola,0
401,1/27/20,Angola,0
402,1/28/20,Angola,0
403,1/29/20,Angola,0
404,1/30/20,Angola,0
405,1/31/20,Angola,0
406,2/1/20,Angola,0
407,2/2/20,Angola,0
408,2/3/20,Angola,0
409,2/4/20,Angola,0
410,2/5/20,Angola,0
411,2/6/20,Angola,0
412,2/7/20,Angola,0
413,2/8/20,Angola,0
414,2/9/20,Angola,0
415,2/10/20,Angola,0
416,2/11/20,Angola,0
417,2/12/20,Angola,0
418,2/13/20,Angola,0
419,2/14/20,Angola,0
420,2/15/20,Angola,0
421,2/16/20,Angola,0
422,2/17/20,Angola,0
423,2/18/20,Angola,0
424,2/19/20,Angola,0
425,2/20/20,Angola,0
426,2/21/20,Angola,0
427,2/22/20,Angola,0
428,2/23/20,Angola,0
429,2/24/20,Angola,0
430,2/25/20,Angola,0
431,2/26/20,Angola,0
432,2/27/20,Angola,0
433,2/28/20,Angola,0
434,2/29/20,Angola,0
435,3/1/20,Angola,0
436,3/2/20,Angola,0
437,3/3/20,Angola,0
438,3/4/20,Angola,0
439,3/5/20,Angola,0
440,3/6/20,Angola,0
441,3/7/20,Angola,0
442,3/8/20,Angola,0
443,3/9/20,Angola,0
444,3/10/20,Angola,0
445,3/11/20,Angola,0
446,3/12/20,Angola,0
447,3/13/20,Angola,0
448,3/14/20,Angola,0
449,3/15/20,Angola,0
450,3/16/20,Angola,0
451,3/17/20,Angola,0
452,3/18/20,Angola,0
453,3/19/20,Angola,0
454,3/20/20,Angola,1
455,3/21/20,Angola,2
456,3/22/20,Angola,2
457,3/23/20,Angola,3
458,3/24/20,Angola,3
459,3/25/20,Angola,3
460,3/26/20,Angola,4
461,3/27/20,Angola,4
462,3/28/20,Angola,5
463,3/29/20,Angola,7
464,3/30/20,Angola,7
465,3/31/20,Angola,7
466,4/1/20,Angola,8
467,4/2/20,Angola,8
468,4/3/20,Angola,8
469,4/4/20,Angola,10
470,4/5/20,Angola,14
471,4/6/20,Angola,16
472,4/7/20,Angola,17
473,4/8/20,Angola,19
474,4/9/20,Angola,19
475,4/10/20,Angola,19
476,4/11/20,Angola,19
477,4/12/20,Angola,19
478,4/13/20,Angola,19
479,4/14/20,Angola,19
480,4/15/20,Angola,19
481,4/16/20,Angola,19
482,4/17/20,Angola,19
483,4/18/20,Angola,24
484,4/19/20,Angola,24
485,4/20/20,Angola,24
486,4/21/20,Angola,24
487,4/22/20,Angola,25
488,4/23/20,Angola,25
489,4/24/20,Angola,25
490,4/25/20,Angola,25
491,4/26/20,Angola,26
492,4/27/20,Angola,27
493,4/28/20,Angola,27
494,4/29/20,Angola,27
495,1/22/20,Antigua and Barbuda,0
496,1/23/20,Antigua and Barbuda,0
497,1/24/20,Antigua and Barbuda,0
498,1/25/20,Antigua and Barbuda,0
499,1/26/20,Antigua and Barbuda,0
500,1/27/20,Antigua and Barbuda,0
501,1/28/20,Antigua and Barbuda,0
502,1/29/20,Antigua and Barbuda,0
503,1/30/20,Antigua and Barbuda,0
504,1/31/20,Antigua and Barbuda,0
505,2/1/20,Antigua and Barbuda,0
506,2/2/20,Antigua and Barbuda,0
507,2/3/20,Antigua and Barbuda,0
508,2/4/20,Antigua and Barbuda,0
509,2/5/20,Antigua and Barbuda,0
510,2/6/20,Antigua and Barbuda,0
511,2/7/20,Antigua and Barbuda,0
512,2/8/20,Antigua and Barbuda,0
513,2/9/20,Antigua and Barbuda,0
514,2/10/20,Antigua and Barbuda,0
515,2/11/20,Antigua and Barbuda,0
516,2/12/20,Antigua and Barbuda,0
517,2/13/20,Antigua and Barbuda,0
518,2/14/20,Antigua and Barbuda,0
519,2/15/20,Antigua and Barbuda,0
520,2/16/20,Antigua and Barbuda,0
521,2/17/20,Antigua and Barbuda,0
522,2/18/20,Antigua and Barbuda,0
523,2/19/20,Antigua and Barbuda,0
524,2/20/20,Antigua and Barbuda,0
525,2/21/20,Antigua and Barbuda,0
526,2/22/20,Antigua and Barbuda,0
527,2/23/20,Antigua and Barbuda,0
528,2/24/20,Antigua and Barbuda,0
529,2/25/20,Antigua and Barbuda,0
530,2/26/20,Antigua and Barbuda,0
531,2/27/20,Antigua and Barbuda,0
532,2/28/20,Antigua and Barbuda,0
533,2/29/20,Antigua and Barbuda,0
534,3/1/20,Antigua and Barbuda,0
535,3/2/20,Antigua and Barbuda,0
536,3/3/20,Antigua and Barbuda,0
537,3/4/20,Antigua and Barbuda,0
538,3/5/20,Antigua and Barbuda,0
539,3/6/20,Antigua and Barbuda,0
540,3/7/20,Antigua and Barbuda,0
541,3/8/20,Antigua and Barbuda,0
542,3/9/20,Antigua and Barbuda,0
543,3/10/20,Antigua and Barbuda,0
544,3/11/20,Antigua and Barbuda,0
545,3/12/20,Antigua and Barbuda,0
546,3/13/20,Antigua and Barbuda,1
547,3/14/20,Antigua and Barbuda,1
548,3/15/20,Antigua and Barbuda,1
549,3/16/20,Antigua and Barbuda,1
550,3/17/20,Antigua and Barbuda,1
551,3/18/20,Antigua and Barbuda,1
552,3/19/20,Antigua and Barbuda,1
553,3/20/20,Antigua and Barbuda,1
554,3/21/20,Antigua and Barbuda,1
555,3/22/20,Antigua and Barbuda,1
556,3/23/20,Antigua and Barbuda,3
557,3/24/20,Antigua and Barbuda,3
558,3/25/20,Antigua and Barbuda,3
559,3/26/20,Antigua and Barbuda,7
560,3/27/20,Antigua and Barbuda,7
561,3/28/20,Antigua and Barbuda,7
562,3/29/20,Antigua and Barbuda,7
563,3/30/20,Antigua and Barbuda,7
564,3/31/20,Antigua and Barbuda,7
565,4/1/20,Antigua and Barbuda,7
566,4/2/20,Antigua and Barbuda,9
567,4/3/20,Antigua and Barbuda,15
568,4/4/20,Antigua and Barbuda,15
569,4/5/20,Antigua and Barbuda,15
570,4/6/20,Antigua and Barbuda,15
571,4/7/20,Antigua and Barbuda,19
572,4/8/20,Antigua and Barbuda,19
573,4/9/20,Antigua and Barbuda,19
574,4/10/20,Antigua and Barbuda,19
575,4/11/20,Antigua and Barbuda,21
576,4/12/20,Antigua and Barbuda,21
577,4/13/20,Antigua and Barbuda,23
578,4/14/20,Antigua and Barbuda,23
579,4/15/20,Antigua and Barbuda,23
580,4/16/20,Antigua and Barbuda,23
581,4/17/20,Antigua and Barbuda,23
582,4/18/20,Antigua and Barbuda,23
583,4/19/20,Antigua and Barbuda,23
584,4/20/20,Antigua and Barbuda,23
585,4/21/20,Antigua and Barbuda,23
586,4/22/20,Antigua and Barbuda,24
587,4/23/20,Antigua and Barbuda,24
588,4/24/20,Antigua and Barbuda,24
589,4/25/20,Antigua and Barbuda,24
590,4/26/20,Antigua and Barbuda,24
591,4/27/20,Antigua and Barbuda,24
592,4/28/20,Antigua and Barbuda,24
593,4/29/20,Antigua and Barbuda,24
594,1/22/20,Argentina,0
595,1/23/20,Argentina,0
596,1/24/20,Argentina,0
597,1/25/20,Argentina,0
598,1/26/20,Argentina,0
599,1/27/20,Argentina,0
600,1/28/20,Argentina,0
601,1/29/20,Argentina,0
602,1/30/20,Argentina,0
603,1/31/20,Argentina,0
604,2/1/20,Argentina,0
605,2/2/20,Argentina,0
606,2/3/20,Argentina,0
607,2/4/20,Argentina,0
608,2/5/20,Argentina,0
609,2/6/20,Argentina,0
610,2/7/20,Argentina,0
611,2/8/20,Argentina,0
612,2/9/20,Argentina,0
613,2/10/20,Argentina,0
614,2/11/20,Argentina,0
615,2/12/20,Argentina,0
616,2/13/20,Argentina,0
617,2/14/20,Argentina,0
618,2/15/20,Argentina,0
619,2/16/20,Argentina,0
620,2/17/20,Argentina,0
621,2/18/20,Argentina,0
622,2/19/20,Argentina,0
623,2/20/20,Argentina,0
624,2/21/20,Argentina,0
625,2/22/20,Argentina,0
626,2/23/20,Argentina,0
627,2/24/20,Argentina,0
628,2/25/20,Argentina,0
629,2/26/20,Argentina,0
630,2/27/20,Argentina,0
631,2/28/20,Argentina,0
632,2/29/20,Argentina,0
633,3/1/20,Argentina,0
634,3/2/20,Argentina,0
635,3/3/20,Argentina,1
636,3/4/20,Argentina,1
637,3/5/20,Argentina,1
638,3/6/20,Argentina,2
639,3/7/20,Argentina,8
640,3/8/20,Argentina,12
641,3/9/20,Argentina,12
642,3/10/20,Argentina,17
643,3/11/20,Argentina,19
644,3/12/20,Argentina,19
645,3/13/20,Argentina,31
646,3/14/20,Argentina,34
647,3/15/20,Argentina,45
648,3/16/20,Argentina,56
649,3/17/20,Argentina,68
650,3/18/20,Argentina,79
651,3/19/20,Argentina,97
652,3/20/20,Argentina,128
653,3/21/20,Argentina,158
654,3/22/20,Argentina,266
655,3/23/20,Argentina,301
656,3/24/20,Argentina,387
657,3/25/20,Argentina,387
658,3/26/20,Argentina,502
659,3/27/20,Argentina,589
660,3/28/20,Argentina,690
661,3/29/20,Argentina,745
662,3/30/20,Argentina,820
663,3/31/20,Argentina,1054
664,4/1/20,Argentina,1054
665,4/2/20,Argentina,1133
666,4/3/20,Argentina,1265
667,4/4/20,Argentina,1451
668,4/5/20,Argentina,1451
669,4/6/20,Argentina,1554
670,4/7/20,Argentina,1628
671,4/8/20,Argentina,1715
672,4/9/20,Argentina,1795
673,4/10/20,Argentina,1975
674,4/11/20,Argentina,1975
675,4/12/20,Argentina,2142
676,4/13/20,Argentina,2208
677,4/14/20,Argentina,2277
678,4/15/20,Argentina,2443
679,4/16/20,Argentina,2571
680,4/17/20,Argentina,2669
681,4/18/20,Argentina,2758
682,4/19/20,Argentina,2839
683,4/20/20,Argentina,2941
684,4/21/20,Argentina,3031
685,4/22/20,Argentina,3144
686,4/23/20,Argentina,3435
687,4/24/20,Argentina,3607
688,4/25/20,Argentina,3780
689,4/26/20,Argentina,3892
690,4/27/20,Argentina,4003
691,4/28/20,Argentina,4127
692,4/29/20,Argentina,4285
693,1/22/20,Armenia,0
694,1/23/20,Armenia,0
695,1/24/20,Armenia,0
696,1/25/20,Armenia,0
697,1/26/20,Armenia,0
698,1/27/20,Armenia,0
699,1/28/20,Armenia,0
700,1/29/20,Armenia,0
701,1/30/20,Armenia,0
702,1/31/20,Armenia,0
703,2/1/20,Armenia,0
704,2/2/20,Armenia,0
705,2/3/20,Armenia,0
706,2/4/20,Armenia,0
707,2/5/20,Armenia,0
708,2/6/20,Armenia,0
709,2/7/20,Armenia,0
710,2/8/20,Armenia,0
711,2/9/20,Armenia,0
712,2/10/20,Armenia,0
713,2/11/20,Armenia,0
714,2/12/20,Armenia,0
715,2/13/20,Armenia,0
716,2/14/20,Armenia,0
717,2/15/20,Armenia,0
718,2/16/20,Armenia,0
719,2/17/20,Armenia,0
720,2/18/20,Armenia,0
721,2/19/20,Armenia,0
722,2/20/20,Armenia,0
723,2/21/20,Armenia,0
724,2/22/20,Armenia,0
725,2/23/20,Armenia,0
726,2/24/20,Armenia,0
727,2/25/20,Armenia,0
728,2/26/20,Armenia,0
729,2/27/20,Armenia,0
730,2/28/20,Armenia,0
731,2/29/20,Armenia,0
732,3/1/20,Armenia,1
733,3/2/20,Armenia,1
734,3/3/20,Armenia,1
735,3/4/20,Armenia,1
736,3/5/20,Armenia,1
737,3/6/20,Armenia,1
738,3/7/20,Armenia,1
739,3/8/20,Armenia,1
